id,name,code,anticipated_time,status,created_at,updated_at
3,BBB,BBB,0.0,Active,2023-03-02T03:32:50.034509+00:00,2023-03-07T09:03:08.986569+00:00
4,VVV,VVV,0.0,Active,2023-03-02T03:39:24.264662+00:00,2023-03-14T01:58:58.072849+00:00
5,new inspection name,,1111.0,Inactive,2023-03-15T05:47:54.081476+00:00,2023-03-15T05:47:54.081476+00:00
10,checking for update,CHN,30.0,Inactive,2023-03-15T07:57:30.197254+00:00,2023-03-15T07:57:30.197254+00:00
11,final check,FIA,3.0,Active,2023-03-15T07:58:12.316830+00:00,2023-03-15T07:58:12.316830+00:00
7,last last  last chekc,222,10.0,Inactive,2023-03-15T07:40:45.405512+00:00,2023-03-15T08:00:06.564031+00:00
2,QQQ,QQQ,0.0,Active,2023-03-02T03:17:53.696753+00:00,2023-03-15T08:00:33.380856+00:00
6,inspectio,INO,10.0,Inactive,2023-03-15T07:37:26.484445+00:00,2023-03-15T08:00:40.896093+00:00
1,string,string,0.0,Active,2023-03-02T03:02:22.463692+00:00,2023-03-15T08:06:03.683531+00:00
8,new value,NEA,10.0,Inactive,2023-03-15T07:56:23.785179+00:00,2023-03-15T08:06:03.683531+00:00
9,ch3eck hceck ,CHK,30.0,Active,2023-03-15T07:56:58.672457+00:00,2023-03-15T08:06:03.683531+00:00
